Дата,Товар,Количество,Цена за единицу
2025-03-10,Ноутбук,19,7.41
2025-12-19,Кроссовки,18,4.13
2025-11-20,Сумка,22,15.18
2025-04-06,Игрушка,25,4.08
2025-01-25,Кроссовки,19,7.13
2025-07-02,Свитер,17,10.9
2025-12-05,Телефон,23,4.86
2025-11-16,Чипсы,16,7.24
2025-10-27,Кроссовки,29,13.21
2025-11-05,Кроссовки,19,8.18
2025-05-23,Ноутбук,24,9.47
2025-02-26,Часы,3,12.14
2025-07-12,Книга,29,12.49
2025-09-10,Шорты,28,9.26
2025-06-09,Футболка,29,14.29
2025-09-25,Сумка,26,11.27
2025-06-02,Свитер,30,8.42
2025-04-17,Книга,23,3.41
2025-01-04,Книга,13,18.67
2025-04-16,Сумка,4,18.99
2025-09-26,Телефон,24,16.42
2025-02-02,Набор пакетов,22,10.68
2025-10-01,Сумка,29,17.91
2025-05-28,Свитер,32,16.8
2025-10-21,Футболка,24,18.4
2025-07-29,Шорты,18,17.32
2025-04-18,Ручка,17,9.92
2025-06-12,Футболка,15,7.15
2025-06-08,Игрушка,30,3.66
2025-12-22,Кепка,28,18.75
2025-05-16,Футболка,22,14.13
2025-09-29,Ложка,21,18.17
2025-02-11,Очки,14,15.43
2025-05-23,Ложка,2,13.39
2025-06-12,Телефон,16,5.38
2025-01-24,Часы,14,2.95
2025-06-30,Часы,16,17.78
2025-09-24,Ручка,15,7.1
2025-08-17,Шорты,6,2.59
2025-04-15,Штаны,30,18.17
2025-10-21,Штаны,18,15.03
2025-04-23,Игрушка,11,16.31
2025-05-09,Штаны,6,6.65
2025-12-07,Часы,5,10.66
2025-12-18,Игрушка,10,12.35
2025-10-28,Штаны,20,14.41
2025-10-04,Шорты,1,17.64
2025-04-04,Планшет,1,10.87
2025-12-04,Ноутбук,32,5.3
2025-03-23,Очки,7,5.85
2025-09-12,Футболка,9,11.12
2025-05-26,Футболка,26,9.44
2025-07-11,Набор пакетов,17,5.82
2025-12-31,Ноутбук,6,12.61
2025-01-03,Чипсы,19,7.09
2025-06-26,Сумка,29,11.35
2025-11-06,Кепка,29,17.93
2025-03-04,Кепка,10,6.99
2025-12-09,Часы,20,2.82
2025-01-13,Чипсы,6,3.55
2025-09-19,Игрушка,27,15.76
2025-03-19,Часы,12,16.34
2025-04-26,Сумка,22,10.59
2025-04-14,Чипсы,4,11.43
2025-12-09,Штаны,24,8.67
2025-10-26,Телефон,23,17.86
2025-04-01,Футболка,24,1.62
2025-10-22,Телефон,29,18.21
2025-02-15,Сумка,17,10.72
2025-01-19,Ноутбук,28,18.4
2025-11-24,Ложка,1,16.05
2025-11-20,Ложка,10,9.74
2025-08-31,Футболка,4,16.83
2025-08-08,Планшет,33,15.72
2025-08-05,Ноутбук,7,17.7
2025-09-26,Очки,13,4.84
2025-12-26,Кепка,19,8.52
2025-07-15,Часы,13,14.87
2025-08-28,Книга,22,5.97
2025-11-22,Кепка,6,5.97
2025-08-15,Футболка,14,16.75
2025-06-12,Игрушка,6,12.5
2025-08-14,Очки,21,3.03
2025-01-28,Книга,30,2.05
2025-05-10,Ложка,17,17.01
2025-02-25,Планшет,16,8.36
2025-01-03,Кроссовки,25,16.77
2025-01-30,Шорты,30,13.4
2025-10-02,Ноутбук,31,13.76
2025-01-12,Телефон,28,9.74
2025-09-30,Очки,16,8.14
2025-01-24,Чипсы,15,4.32
2025-07-25,Футболка,16,18.03
2025-10-09,Свитер,21,15.7
2025-07-20,Кроссовки,12,13.52
2025-01-01,Кроссовки,3,13.58
2025-12-22,Телефон,25,3.12
2025-06-15,Ноутбук,28,10.05
2025-10-07,Книга,3,1.88
2025-11-21,Телефон,18,12.39
2025-09-12,Кроссовки,27,17.86
2025-06-09,Чипсы,23,13.56
2025-05-08,Кепка,1,4.3
2025-05-26,Планшет,21,18.84
2025-07-29,Телефон,33,16.76
2025-06-03,Телефон,15,14.39
2025-04-09,Планшет,27,1.9
2025-01-09,Набор пакетов,31,7.04
2025-11-11,Ложка,14,2.39
2025-12-16,Ручка,3,5.36
2025-10-24,Часы,23,12.58
2025-06-22,Шорты,14,8.12
2025-08-03,Телефон,27,3.78
2025-11-06,Набор пакетов,27,14.71
2025-02-03,Очки,22,8.6
2025-04-09,Планшет,22,10.69
2025-07-06,Кепка,15,4.22
2025-04-21,Книга,20,4.89
2025-04-02,Кепка,28,1.86
2025-11-22,Часы,22,17.09
2025-12-12,Телефон,28,15.64
2025-02-22,Свитер,7,18.76
2025-07-24,Игрушка,20,9.98
2025-01-25,Чипсы,4,14.64
2025-07-22,Шорты,7,17.11
2025-04-10,Очки,33,17.28
2025-12-05,Кроссовки,18,1.62
2025-06-06,Телефон,19,15.3
2025-10-18,Ручка,13,17.56
2025-03-27,Чипсы,18,3.51
2025-06-01,Книга,5,4.98
2025-05-13,Набор пакетов,8,4.45
2025-07-31,Книга,5,15.41
2025-08-17,Очки,14,10.19
2025-09-27,Часы,28,6.23
2025-11-12,Книга,20,17.86
2025-06-19,Кепка,28,3.65
2025-12-01,Шорты,19,16.58
2025-10-08,Кроссовки,12,1.78
2025-04-15,Планшет,31,2.77
2025-07-16,Кроссовки,31,4.19
2025-02-23,Книга,19,3.44
2025-01-16,Кроссовки,33,10.88
2025-10-23,Игрушка,32,3.43
2025-06-28,Планшет,33,15.97
2025-04-29,Кроссовки,3,8.63
2025-07-13,Часы,7,13.33
2025-09-19,Телефон,11,11.95
2025-02-27,Набор пакетов,21,2.87
2025-03-08,Шорты,28,1.72
2025-04-18,Футболка,33,13.15
2025-10-24,Сумка,11,6.34
2025-01-25,Телефон,13,9.26
2025-03-14,Чипсы,33,1.52
2025-07-26,Игрушка,25,16.89
2025-05-15,Штаны,31,4.65
2025-08-30,Шорты,23,15.07
2025-06-17,Шорты,28,5.36
2025-02-22,Ложка,9,7.27
2025-12-18,Кроссовки,10,17.84
2025-05-23,Ложка,31,2.58
2025-11-17,Телефон,9,10.14
2025-01-23,Шорты,20,16.92
2025-07-13,Часы,9,6.31
2025-09-22,Футболка,1,18.73
2025-06-06,Планшет,8,14.76
2025-03-19,Ложка,11,11.63
2025-05-13,Ручка,24,4.43
2025-09-15,Ручка,22,14.11
2025-12-03,Свитер,30,11.89
2025-10-29,Телефон,14,7.16
2025-10-02,Планшет,16,4.26
2025-12-16,Ноутбук,29,11.44
2025-06-18,Кепка,9,14.24
2025-02-12,Часы,3,4.09
2025-10-22,Ноутбук,15,8.18
2025-05-23,Ноутбук,8,17.28
2025-08-15,Ложка,29,15.16
2025-06-08,Штаны,6,6.65
2025-06-28,Телефон,8,12.28
2025-03-29,Ручка,26,11.47
2025-08-14,Шорты,23,8.57
2025-06-18,Телефон,24,10.72
2025-02-04,Кроссовки,7,8.54
2025-10-08,Сумка,25,15.45
2025-04-27,Кепка,28,17.83
2025-10-04,Футболка,10,9.1
2025-07-19,Кроссовки,26,18.34
2025-12-26,Сумка,25,4.9
2025-09-03,Набор пакетов,17,9.07
2025-05-17,Книга,5,1.22
2025-03-24,Часы,29,9.72
2025-01-30,Часы,2,6.01
2025-09-05,Кроссовки,18,7.49
2025-07-22,Чипсы,24,16.86
2025-06-08,Футболка,16,2.8
2025-06-08,Книга,6,2.82
2025-07-06,Ложка,14,2.57
2025-12-17,Футболка,5,15.73
2025-10-20,Чипсы,1,9.7
2025-12-23,Часы,9,13.76
2025-07-06,Сумка,15,5.68
2025-01-16,Набор пакетов,14,12.17
2025-05-16,Чипсы,25,15.23
2025-11-14,Шорты,28,4.76
2025-10-12,Очки,9,10.26
2025-10-03,Планшет,2,18.83
2025-11-26,Набор пакетов,3,17.87
2025-11-30,Ложка,22,12.4
2025-04-23,Ручка,2,4.64
2025-06-09,Кепка,16,18.77
2025-02-19,Часы,1,12.82
2025-06-17,Набор пакетов,16,7.06
2025-12-21,Чипсы,8,3.19
2025-06-18,Очки,30,16.57
2025-07-01,Ноутбук,29,12.16
2025-07-22,Телефон,4,17.03
2025-12-16,Кроссовки,10,3.34
2025-09-24,Шорты,31,7.51
2025-08-15,Телефон,23,10.13
2025-06-11,Штаны,12,3.91
2025-04-06,Игрушка,33,16.59
2025-12-12,Штаны,33,3.54
2025-07-07,Телефон,5,12.06
2025-05-21,Свитер,27,9.57
2025-04-14,Чипсы,14,2.88
2025-10-27,Чипсы,24,13.21
2025-09-17,Футболка,27,15.97
2025-10-01,Свитер,24,18.18
2025-11-17,Свитер,8,16.67
2025-03-24,Часы,2,10.75
2025-11-16,Набор пакетов,10,17.6
2025-07-27,Книга,21,9.47
2025-03-26,Кроссовки,24,11.68
2025-11-05,Набор пакетов,24,10.44
2025-05-12,Набор пакетов,17,3.39
2025-02-12,Шорты,6,4.9
2025-03-21,Кроссовки,11,9.89
2025-08-28,Очки,29,5.2
2025-11-28,Футболка,20,1.56
2025-06-29,Набор пакетов,13,9.79
2025-04-13,Книга,8,18.95
2025-05-10,Книга,21,13.95
2025-09-01,Ноутбук,26,6.61
2025-04-01,Ложка,22,6.94
2025-08-30,Футболка,33,13.46
2025-11-23,Ручка,13,17.6
2025-08-31,Свитер,7,11.32
2025-09-07,Игрушка,12,13.97
2025-12-23,Штаны,10,16.29
2025-08-10,Книга,7,10.04
2025-12-26,Штаны,31,9.82
2025-10-30,Игрушка,18,17.57
2025-08-08,Шорты,21,14.28
2025-06-15,Кроссовки,3,9.5
2025-07-09,Очки,25,3.91
2025-09-09,Набор пакетов,16,11.18
2025-01-23,Игрушка,18,15.52
2025-09-02,Сумка,8,17.27
2025-04-18,Футболка,27,6.06
2025-02-05,Ручка,21,14.37
2025-03-15,Телефон,27,7.99
2025-02-06,Сумка,18,2.18
2025-04-24,Планшет,24,13.13
2025-10-21,Ручка,4,10.44
2025-04-11,Сумка,16,4.56
2025-02-04,Ноутбук,22,10.45
2025-07-05,Кепка,4,11.22
2025-05-02,Ноутбук,19,10.17
2025-03-29,Ноутбук,12,1.98
2025-12-22,Кепка,7,7.28
2025-03-29,Игрушка,7,1.23
2025-04-15,Чипсы,1,5.92
2025-12-19,Книга,7,10.74
2025-07-25,Кроссовки,21,6.96
2025-02-23,Планшет,5,1.51
2025-12-24,Штаны,30,6.62
2025-10-22,Ложка,11,17.8
2025-01-22,Планшет,23,2.93
2025-12-22,Игрушка,19,8.29
2025-11-03,Игрушка,16,11.72
2025-09-30,Ручка,9,18.61
2025-06-18,Очки,14,11.94
2025-04-18,Футболка,23,4.13
2025-07-28,Штаны,12,1.66
2025-12-13,Очки,8,15.43
2025-01-04,Планшет,22,14.41
2025-05-17,Очки,32,10.45
2025-12-06,Свитер,2,8.43
2025-06-19,Игрушка,14,6.72
2025-03-09,Сумка,28,6.17
2025-09-18,Ручка,27,10.91
2025-02-03,Чипсы,10,1.27
2025-07-03,Ручка,11,2.49
2025-01-07,Штаны,15,17.72
2025-09-28,Сумка,16,13.85
2025-04-07,Шорты,20,1.95
2025-02-14,Набор пакетов,19,2.22
2025-08-19,Кроссовки,26,14.08
2025-03-12,Планшет,6,15.22
2025-08-14,Футболка,26,14.52
2025-04-02,Набор пакетов,20,17.66
2025-01-25,Кепка,32,15.63
2025-06-29,Кроссовки,20,18.35
2025-04-21,Ручка,11,8.35
2025-07-11,Штаны,15,12.64
2025-12-13,Шорты,32,2.02
2025-11-13,Ручка,22,16.45
2025-06-26,Телефон,25,5.46
2025-12-06,Сумка,11,14.28
2025-07-19,Чипсы,11,18.25
2025-05-28,Футболка,17,1.21
2025-11-15,Шорты,4,2.32
2025-03-14,Чипсы,6,9.41
2025-03-01,Ручка,19,2.3
2025-02-27,Футболка,24,8.55
2025-04-21,Шорты,26,8.68
2025-06-19,Очки,31,2.41
2025-08-09,Ручка,22,12.39
2025-01-09,Кроссовки,6,13.55
2025-06-27,Игрушка,7,10.34
2025-02-06,Телефон,6,11.95
2025-10-23,Свитер,31,16.96
2025-05-30,Сумка,18,4.16
2025-01-07,Набор пакетов,31,7.67
2025-07-14,Книга,23,2.85
2025-03-02,Телефон,24,6.41
2025-07-08,Ложка,29,14.76
2025-05-14,Планшет,30,3.24
2025-12-31,Планшет,1,17.68
2025-02-26,Свитер,31,1.15
2025-12-23,Часы,16,16.9
2025-04-21,Чипсы,31,9.32
2025-02-25,Набор пакетов,28,13.94
2025-03-21,Шорты,32,17.16
2025-02-11,Игрушка,14,13.42
2025-02-12,Свитер,21,5.24
2025-06-26,Штаны,9,10.82
2025-12-12,Футболка,16,11.59
2025-10-10,Кроссовки,24,13.2
2025-09-15,Ручка,13,17.11
2025-10-12,Книга,31,5.47
2025-05-02,Очки,29,7.65
2025-07-09,Чипсы,4,9.66
2025-03-17,Ручка,33,2.83
2025-01-03,Кепка,33,3.32
2025-05-16,Свитер,20,7.06
2025-09-17,Ноутбук,3,17.8
2025-09-21,Шорты,23,12.85
2025-09-26,Футболка,2,7.66
2025-09-27,Шорты,7,17.15
2025-09-22,Кроссовки,28,10.35
2025-07-05,Чипсы,23,10.85
2025-01-15,Ложка,19,9.9
2025-11-28,Кепка,19,15.01
2025-09-13,Ручка,29,1.35
2025-01-10,Ноутбук,17,18.27
2025-03-28,Игрушка,4,12.73
2025-10-16,Сумка,4,9.98
2025-10-28,Свитер,28,15.09
2025-07-17,Футболка,1,12.55
2025-02-25,Ноутбук,2,8.01
2025-07-29,Футболка,4,1.84
2025-11-16,Игрушка,26,10.13
2025-05-28,Шорты,12,1.78
2025-08-28,Чипсы,2,1.95
2025-10-03,Книга,5,11.69
2025-06-24,Телефон,3,9.77
2025-12-25,Кепка,21,11.71
2025-07-11,Сумка,6,11.74
2025-07-29,Ноутбук,32,9.22
2025-06-12,Игрушка,32,4.22
2025-10-21,Футболка,8,2.28
2025-06-08,Ноутбук,31,13.18
2025-03-27,Очки,3,16.03
2025-05-12,Шорты,3,4.25
2025-03-24,Чипсы,5,10.89
2025-11-05,Кроссовки,27,8.68
2025-02-14,Ручка,29,15.42
2025-06-21,Шорты,19,3.55
2025-12-27,Ложка,8,7.89
2025-10-19,Кроссовки,15,17.06
2025-05-20,Сумка,19,4.4
2025-09-24,Часы,12,8.45
2025-04-03,Игрушка,18,4.07
2025-05-30,Ноутбук,10,15.83
2025-11-26,Часы,20,12.2
2025-05-05,Телефон,27,11.13
2025-12-31,Кроссовки,20,14.39
2025-08-28,Планшет,33,6.54
2025-12-02,Игрушка,22,1.8
2025-10-22,Книга,1,16.85
2025-03-08,Сумка,33,16.49
2025-06-07,Кроссовки,21,14.45
2025-04-22,Часы,18,5.7
2025-07-19,Кроссовки,1,6.74
2025-10-01,Футболка,22,12.3
2025-08-04,Часы,3,12.78
2025-09-04,Кроссовки,9,6.77
2025-01-31,Шорты,14,11.43
2025-07-24,Телефон,6,16.97
2025-10-11,Телефон,18,13.91
2025-07-06,Планшет,25,18.74
2025-07-21,Свитер,14,11.67
2025-12-26,Сумка,3,11.24
2025-10-25,Кепка,25,17.02
2025-02-11,Часы,28,15.11
2025-10-12,Ноутбук,7,14.3
2025-02-04,Очки,2,18.36
2025-06-17,Набор пакетов,1,16.64
2025-07-29,Свитер,33,7.86
2025-01-01,Часы,30,3.56
2025-07-28,Футболка,11,15.37
2025-04-05,Футболка,7,13.19
2025-03-16,Очки,7,15.67
2025-06-17,Свитер,17,2.7
2025-05-15,Телефон,13,3.01
2025-11-04,Планшет,28,1.07
2025-07-22,Шорты,24,8.43
2025-07-22,Ложка,19,7.97
2025-07-22,Очки,32,16.73
2025-04-13,Телефон,16,3.69
2025-03-10,Кроссовки,7,12.99
2025-03-29,Ручка,6,6.09
2025-03-31,Шорты,2,6.63
2025-08-23,Планшет,5,16.77
2025-12-25,Сумка,21,18.54
2025-04-04,Шорты,22,15.27
2025-12-08,Книга,19,5.82
2025-02-14,Штаны,30,1.33
2025-03-28,Игрушка,30,8.29
2025-08-19,Телефон,32,2.17
2025-05-15,Ручка,33,10.54
2025-02-18,Штаны,33,6.62
2025-09-27,Сумка,28,12.78
2025-06-29,Ноутбук,12,1.4
2025-06-17,Чипсы,12,8.52
2025-02-20,Очки,17,10.33
2025-03-06,Очки,4,17.04
2025-12-17,Набор пакетов,32,12.51
2025-02-22,Чипсы,3,1.57
2025-01-17,Штаны,3,16.04
2025-04-04,Сумка,29,5.6
2025-02-23,Сумка,19,9.93
2025-04-09,Ложка,14,16.38
2025-06-30,Планшет,27,13.28
2025-03-29,Кепка,27,7.44
2025-02-06,Кепка,29,14.13
2025-11-14,Ложка,32,2.13
2025-01-14,Свитер,33,4.85
2025-01-26,Кроссовки,13,12.06
2025-10-07,Набор пакетов,5,11.11
2025-09-04,Футболка,32,2.01
2025-04-18,Чипсы,25,10.45
2025-01-11,Планшет,22,12.38
2025-12-09,Сумка,5,11.65
2025-05-21,Часы,18,14.25
2025-09-03,Ручка,4,16.1
2025-03-22,Набор пакетов,20,2.78
2025-06-25,Игрушка,33,16.27
2025-02-01,Ложка,18,5.26
2025-07-03,Сумка,16,4.38
2025-06-02,Телефон,24,12.91
2025-11-15,Ручка,5,15.11
2025-03-11,Шорты,29,3.2
2025-06-19,Игрушка,23,15.67
2025-07-19,Сумка,6,7.84
2025-09-27,Телефон,33,6.57
2025-09-07,Часы,30,14.84
2025-11-14,Игрушка,32,12.45
2025-10-03,Свитер,16,18.29
2025-07-04,Часы,18,3.7
2025-06-22,Штаны,10,9.18
2025-07-24,Футболка,22,17.18
2025-11-27,Часы,14,15.2
2025-09-23,Очки,6,12.42
2025-03-13,Очки,17,12.24
2025-02-06,Ложка,8,4.58
2025-10-02,Сумка,11,5.09
2025-02-12,Футболка,31,5.63
2025-05-28,Ноутбук,24,17.07
2025-03-10,Ноутбук,12,18.23
2025-06-08,Кепка,14,2.27
2025-06-22,Ноутбук,27,3.8
2025-01-05,Очки,29,16.28
2025-05-14,Кроссовки,15,1.95
2025-03-22,Книга,6,13.3
2025-09-01,Набор пакетов,26,8.36
2025-01-25,Телефон,25,1.89
2025-07-18,Ложка,32,7.07
2025-06-07,Очки,17,12.06
2025-01-24,Очки,13,6.37
2025-01-07,Шорты,11,12.24
2025-12-01,Часы,8,18.94
2025-02-09,Кроссовки,9,17.22
2025-10-31,Книга,22,7.0
2025-04-06,Часы,32,1.56
2025-11-24,Кроссовки,3,9.98
2025-09-27,Кроссовки,28,12.83
2025-12-31,Штаны,14,12.51
2025-12-06,Свитер,29,10.0
2025-09-30,Игрушка,29,4.53
2025-01-11,Ноутбук,24,17.42
2025-05-06,Игрушка,17,9.52
2025-07-09,Футболка,26,13.13
2025-06-10,Свитер,12,17.69
2025-02-08,Штаны,20,13.67
2025-06-13,Набор пакетов,17,8.28
2025-12-27,Чипсы,18,8.79
2025-01-31,Книга,22,17.06
2025-11-05,Кроссовки,20,4.76
2025-02-20,Ложка,18,12.23
2025-08-20,Телефон,8,1.79
2025-03-26,Футболка,30,2.2
2025-03-10,Игрушка,19,17.65
2025-05-31,Набор пакетов,25,14.41
2025-07-01,Ручка,23,11.2
2025-05-24,Сумка,22,16.04
2025-06-24,Кроссовки,12,14.1
2025-08-17,Шорты,7,1.29
2025-11-25,Чипсы,15,6.78
2025-08-17,Шорты,25,8.14
2025-04-20,Футболка,1,2.23
2025-02-19,Набор пакетов,19,10.83
2025-09-07,Ложка,17,7.21
2025-06-19,Планшет,23,3.2
2025-03-15,Сумка,30,3.65
2025-05-29,Игрушка,9,15.34
2025-02-01,Ноутбук,14,10.21
2025-07-30,Штаны,16,10.47
2025-03-05,Ручка,30,7.5
2025-04-10,Планшет,27,17.26
2025-07-05,Шорты,10,16.49
2025-04-01,Книга,27,9.11
2025-07-01,Свитер,9,16.99
2025-05-13,Чипсы,9,9.91
2025-11-04,Очки,7,1.43
2025-11-23,Кепка,10,18.37
2025-09-21,Сумка,6,6.53
2025-09-11,Телефон,30,6.57
2025-09-02,Кроссовки,24,5.21
2025-10-05,Штаны,7,15.14
2025-08-10,Свитер,9,6.52
2025-03-31,Свитер,21,4.4
2025-12-11,Книга,25,6.43
2025-03-28,Книга,14,7.72
2025-07-28,Ручка,23,7.04
2025-02-28,Кроссовки,4,4.26
2025-12-30,Ноутбук,23,15.04
2025-05-12,Планшет,17,6.79
2025-09-19,Кроссовки,13,15.26
2025-04-13,Чипсы,11,1.78
2025-01-23,Игрушка,15,11.38
2025-05-08,Кепка,33,3.12
2025-09-30,Шорты,6,4.81
2025-06-26,Свитер,16,14.83
2025-06-06,Шорты,2,18.49
2025-12-02,Ложка,12,1.64
2025-01-14,Чипсы,21,16.13
2025-05-28,Книга,3,15.95
2025-08-29,Телефон,9,12.16
2025-12-25,Кепка,29,7.13
2025-10-25,Кепка,7,6.41
2025-04-18,Шорты,12,9.42
2025-02-19,Телефон,4,6.88
2025-12-11,Набор пакетов,26,17.34
2025-05-24,Планшет,12,18.06
2025-12-26,Кроссовки,22,10.82
2025-09-07,Штаны,19,17.28
2025-03-19,Сумка,26,7.95
2025-09-07,Кепка,15,15.09
2025-12-18,Чипсы,33,18.81
2025-01-02,Чипсы,32,14.61
2025-03-31,Ложка,23,13.43
2025-10-30,Ноутбук,1,17.36
2025-01-28,Шорты,12,11.4
2025-11-02,Ложка,15,18.22
2025-10-12,Кроссовки,15,10.25
2025-08-22,Игрушка,33,12.5
2025-06-21,Кепка,17,13.16
2025-03-25,Шорты,33,18.69
2025-04-03,Планшет,31,13.34
2025-05-22,Игрушка,32,9.28
2025-02-21,Чипсы,29,7.92
2025-11-05,Книга,6,7.94
2025-07-03,Свитер,9,6.37
2025-03-10,Игрушка,33,7.0
2025-08-31,Свитер,3,14.58
2025-04-14,Кроссовки,12,8.88
2025-05-12,Игрушка,26,7.88
2025-06-23,Кепка,13,10.73
2025-02-25,Кепка,30,18.31
2025-10-31,Ноутбук,27,2.76
2025-05-29,Шорты,29,11.62
2025-01-15,Кроссовки,17,10.48
2025-12-17,Часы,10,4.3
2025-04-18,Планшет,2,11.94
2025-08-28,Кроссовки,30,11.57
2025-04-02,Кепка,25,8.49
2025-09-01,Игрушка,33,7.97
2025-08-25,Штаны,22,16.87
2025-04-22,Футболка,31,4.8
2025-09-10,Кроссовки,9,6.39
2025-05-27,Очки,32,7.19
2025-07-25,Кроссовки,13,17.4
2025-08-20,Кепка,9,7.79
2025-12-29,Футболка,12,15.24
2025-04-19,Сумка,7,6.01
2025-12-08,Шорты,27,10.34
2025-02-01,Шорты,33,15.17
2025-05-17,Штаны,6,12.76
2025-05-29,Часы,24,10.26
2025-07-24,Кепка,18,8.75
2025-02-20,Книга,33,16.9
2025-12-03,Планшет,7,6.16
2025-09-11,Набор пакетов,26,1.68
2025-03-26,Кроссовки,23,6.21
2025-01-21,Ручка,27,13.77
2025-04-12,Свитер,1,11.48
2025-02-02,Часы,33,16.61
2025-11-12,Ложка,16,9.19
2025-03-17,Часы,29,12.08
2025-05-28,Часы,33,12.64
2025-03-21,Чипсы,32,9.83
2025-10-22,Очки,6,8.06
2025-09-12,Телефон,4,16.11
2025-02-16,Сумка,13,11.72
2025-06-08,Игрушка,23,10.22
2025-02-28,Кепка,31,17.02
2025-12-27,Планшет,33,11.48
2025-02-16,Ручка,27,8.84
2025-06-19,Планшет,16,6.98
2025-10-21,Очки,18,6.46
2025-03-22,Штаны,19,14.59
2025-11-02,Планшет,26,18.54
2025-12-19,Книга,9,5.56
2025-12-18,Телефон,6,17.14
2025-09-19,Штаны,8,15.5
2025-12-20,Сумка,23,17.86
2025-09-08,Штаны,6,18.63
2025-12-13,Шорты,27,3.94
2025-06-06,Кепка,21,18.36
2025-07-14,Ноутбук,2,3.98
2025-06-10,Кроссовки,11,8.46
2025-09-15,Чипсы,20,6.36
2025-12-09,Чипсы,3,18.06
2025-08-09,Ложка,12,5.78
2025-01-10,Кепка,33,2.67
2025-12-16,Кепка,17,4.17
2025-11-05,Кепка,29,15.89
2025-03-07,Шорты,9,1.87
2025-09-07,Набор пакетов,9,6.41
2025-09-28,Книга,17,18.37
2025-04-15,Ложка,24,7.11
2025-11-11,Штаны,27,5.25
2025-03-19,Планшет,11,11.54
2025-08-28,Ручка,17,2.6
2025-05-12,Футболка,14,2.23
2025-02-07,Шорты,2,15.02
2025-05-10,Сумка,30,16.12
2025-05-01,Свитер,30,6.46
2025-05-06,Ложка,14,12.61
2025-08-18,Планшет,5,1.15
2025-06-02,Планшет,27,16.16
2025-08-05,Книга,7,15.09
2025-04-27,Часы,24,15.48
2025-01-10,Сумка,29,4.71
2025-11-30,Игрушка,30,6.93
2025-04-18,Кроссовки,12,11.51
2025-05-21,Ручка,1,7.33
2025-01-16,Свитер,2,7.83
2025-11-22,Часы,14,13.2
2025-11-08,Телефон,27,5.4
2025-04-22,Кепка,10,13.12
2025-05-16,Телефон,30,10.17
2025-09-11,Кроссовки,29,18.05
2025-04-15,Свитер,10,13.22
2025-10-22,Ноутбук,7,1.26
2025-01-19,Игрушка,29,18.09
2025-07-12,Сумка,25,7.28
2025-11-15,Набор пакетов,1,8.57
2025-11-29,Ручка,19,17.29
2025-09-15,Книга,9,18.19
2025-03-15,Ноутбук,11,13.04
2025-07-05,Книга,25,12.88
2025-06-27,Ручка,10,16.54
2025-11-18,Книга,8,1.29
2025-09-26,Игрушка,20,4.79
2025-10-03,Часы,3,7.06
2025-07-09,Чипсы,6,5.58
2025-03-26,Кроссовки,31,17.53
2025-10-12,Планшет,29,8.92
2025-04-12,Ноутбук,23,2.04
2025-11-03,Чипсы,5,4.48
2025-06-15,Кроссовки,31,8.67
2025-08-07,Ноутбук,14,1.71
2025-04-19,Ноутбук,27,17.12
2025-10-31,Ручка,33,7.64
2025-12-26,Штаны,15,14.67
2025-05-07,Ручка,25,10.63
2025-06-19,Штаны,5,3.88
2025-03-31,Ручка,2,18.35
2025-05-27,Штаны,32,13.26
2025-12-18,Очки,21,17.72
2025-05-10,Кепка,29,18.73
2025-05-31,Кепка,5,3.81
2025-05-02,Набор пакетов,29,7.11
2025-12-20,Свитер,30,2.9
2025-03-23,Телефон,31,13.52
2025-02-17,Шорты,12,18.16
2025-09-02,Планшет,26,10.32
2025-11-29,Шорты,31,10.43
2025-11-07,Часы,29,18.8
2025-10-30,Штаны,25,14.53
2025-08-30,Книга,18,1.76
2025-05-18,Штаны,14,1.93
2025-06-23,Ложка,5,1.87
2025-03-04,Ложка,17,5.21
2025-05-16,Шорты,18,12.68
2025-05-09,Чипсы,9,10.01
2025-04-07,Шорты,20,11.43
2025-09-16,Кроссовки,31,16.99
2025-07-05,Планшет,17,3.8
2025-11-08,Кепка,26,6.95
2025-06-02,Ручка,15,7.09
2025-04-23,Ложка,13,14.86
2025-07-29,Набор пакетов,15,18.64
2025-05-19,Штаны,21,13.26
2025-03-23,Свитер,16,4.55
2025-09-20,Набор пакетов,26,8.28
2025-09-09,Игрушка,22,10.89
2025-07-25,Набор пакетов,17,2.52
2025-06-10,Ложка,29,16.83
2025-04-18,Очки,23,16.36
2025-05-11,Телефон,31,17.64
2025-10-25,Книга,5,4.52
2025-05-18,Кроссовки,3,2.74
2025-05-23,Кроссовки,21,10.74
2025-10-29,Очки,19,6.54
2025-04-06,Кроссовки,24,1.84
2025-03-11,Ложка,18,9.89
2025-08-30,Штаны,6,12.81
2025-08-25,Кроссовки,5,6.17
2025-12-16,Книга,7,1.71
2025-01-18,Планшет,4,2.05
2025-06-25,Ручка,22,11.9
2025-02-23,Ложка,26,4.84
2025-08-20,Свитер,24,16.68
2025-06-17,Чипсы,13,7.53
2025-06-22,Футболка,4,15.42
2025-02-17,Чипсы,21,16.49
2025-10-30,Шорты,15,5.68
2025-12-13,Штаны,2,13.15
2025-08-13,Ложка,25,4.41
2025-02-09,Набор пакетов,20,5.45
2025-07-18,Чипсы,15,17.49
2025-07-12,Штаны,21,12.39
2025-06-24,Чипсы,32,5.24
2025-09-29,Шорты,22,18.06
2025-04-17,Кроссовки,31,5.95
